feature,importance
acc_mag_kurt,0.09912535265072173
gyro_mag_skew,0.07022923858514989
acc_y_psd_mean,0.06317865404255306
acc_y_max,0.06122566601216565
gyro_mag_kurt,0.05600597214681153
acc_mag_skew,0.05236740844509685
gyro_mag_delta,0.05017440853302403
acc_y_mean,0.04123133070217772
gyro_x_kurt,0.03962454240863919
acc_z_delta,0.03731392337902898
acc_x_delta,0.027038807012178034
gyro_z_kurt,0.026163049321917976
acc_x_psd_mean,0.026025606127918884
gyro_mag_max,0.02517970815077111
acc_y_spectral_entropy,0.022837303063797366
acc_y_q75,0.022109252652211545
gyro_mag_spectral_entropy,0.01354329942713372
acc_y_q25,0.011698406791860409
acc_x_var,0.011567400838878965
acc_mag_max,0.010756958260512197
acc_mag_std,0.010413598809448775
acc_mag_spectral_entropy,0.010010858421515525
acc_mag_delta,0.009615393597097314
acc_x_std,0.009433542031756463
acc_y_median,0.008291181163269856
acc_x_kurt,0.007461550365326955
gyro_y_kurt,0.006740055767256858
acc_mag_var,0.006315304790531236
acc_z_min,0.006202789972697265
acc_x_min,0.005845274892112334
acc_z_iqr,0.005708001668203896
acc_z_max,0.005490982658945356
gyro_mag_mean,0.005442241127404074
acc_z_var,0.005347454755914003
acc_y_min,0.005252556803188423
gyro_mag_std,0.005237974381996788
acc_x_spectral_entropy,0.005181029695057277
acc_y_std,0.004633161514286821
gyro_mag_q75,0.004623123935635072
gyro_z_spectral_entropy,0.004573001078853208
acc_z_std,0.00441924594518936
gyro_x_mean,0.0041603826290939555
gyro_x_skew,0.004102353822218717
gyro_z_skew,0.0037619635307392656
gyro_mag_var,0.003737060071386847
acc_y_delta,0.0034415253573653894
acc_z_kurt,0.0032950529384305903
gyro_mag_iqr,0.003271269843689734
acc_mag_iqr,0.0028973336430320037
acc_z_spectral_entropy,0.0026501834439647876
acc_y_iqr,0.002637169967898026
gyro_z_iqr,0.0024128967823725377
acc_x_median,0.0024042484860274118
acc_y_var,0.002314795342673517
gyro_z_delta,0.0022087292490716283
acc_x_max,0.0020994824561729165
gyro_mag_median,0.0020878081809396188
acc_x_iqr,0.001982914171185358
gyro_x_delta,0.0019189127130575267
acc_mag_psd_mean,0.0019113333868515444
gyro_y_iqr,0.0017951222203719417
gyro_mag_psd_mean,0.0017858066350636063
gyro_y_std,0.001489989519153944
gyro_x_iqr,0.001451553190121091
gyro_z_std,0.001443137416457305
acc_mag_q25,0.0014058040376603471
acc_z_psd_mean,0.0013646033080165715
acc_mag_q75,0.0012982961296540555
gyro_z_min,0.001265998717157088
gyro_x_q75,0.0012042205114439015
acc_mag_min,0.0010584237372224317
gyro_z_max,0.0010069584847540944
acc_x_q75,0.000990642353301954
gyro_y_psd_mean,0.0009755823389130389
gyro_z_psd_mean,0.0009684314646355185
gyro_x_min,0.0009349245739639993
acc_y_skew,0.0009065832161336142
gyro_z_var,0.0008437640218443889
gyro_y_q75,0.0008419882213388443
gyro_mag_q25,0.0008418354720560555
gyro_y_var,0.0008211282232179947
acc_z_q75,0.0008127092081305278
acc_z_mean,0.0008120380680874415
acc_y_kurt,0.000800648998731538
gyro_x_psd_mean,0.0007830988942400146
gyro_y_delta,0.0007816644241941552
gyro_y_mean,0.0007674231701602132
gyro_x_var,0.0007439036047464928
gyro_y_q25,0.0007331684603518574
acc_x_skew,0.0007228959847963022
acc_z_skew,0.0006789102704066696
gyro_x_std,0.0006707240454258641
gyro_y_skew,0.0006702383375555754
acc_x_q25,0.0006701573165609684
gyro_z_mean,0.0006579896429066923
acc_z_median,0.0006569483869068145
acc_mag_mean,0.0006263449203002551
gyro_y_median,0.0006231944422039412
acc_x_mean,0.0006135922037391479
gyro_x_spectral_entropy,0.0006044302478400996
acc_z_q25,0.0005629343532338044
gyro_y_max,0.0005221036811627044
gyro_x_max,0.0005095732821093436
gyro_z_q75,0.0004416102375831481
gyro_z_q25,0.0004389933755759469
gyro_x_q25,0.00042382713450694925
gyro_x_median,0.0004167564465858937
gyro_z_median,0.00039546922210944056
gyro_y_min,0.0003811934444398882
acc_mag_median,0.00036590818779273494
gyro_y_spectral_entropy,0.0002752426495904949
gyro_mag_min,0.00021148562113599705
